diary_no,Judgement_type,case_no,pet,res,pet_adv,res_adv,bench,judgement_by,judgment_dates,temp_link
2390-2020,J,C.A. No.-005685-005685 - 2021,M/S NEW VICTORIA MILLS,SHRIKANT ARYA,MAYURI RAGHUVANSHI,,"HON'BLE MR. JUSTICE SANJAY KISHAN KAUL, HON'BLE MR. JUSTICE M.M. SUNDRESH",HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,27-09-2021,supremecourt/2020/2390/2390_2020_36_1501_30326_Judgement_27-Sep-2021.pdf
2398-2009,J,C.A. No.-006821-006821 - 2009,STATE BANK OF INDIA,C.K.KARUNAKARAN,SANJAY KAPUR,,"HON'BLE MR. JUSTICE SANJAY KISHAN KAUL, HON'BLE MR. JUSTICE M.M. SUNDRESH",HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,30-09-2021,supremecourt/2009/2398/2398_2009_6_105_30466_Order_30-Sep-2021.pdf
2441-2010,J,C.A. No.-006124-006124 - 2011,NARAYAN SITARAM BADWAIK (DEAD) THR. LRS.,BISARAM AND ORS.,B. SUNITA RAO,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE SURYA KANT, HON'BLE MR. JUSTICE ANIRUDDHA BOSE",HON'BLE THE CHIEF JUSTICE,17-02-2021,supremecourt/2010/2441/2441_2010_32_103_26191_Judgement_17-Feb-2021.pdf
2520-2019,J,C.A. No.-002275 - 2019,PANI RAM,UNION OF INDIA,RUNAMONI BHUYAN,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE B.R. GAVAI",HON'BLE MR. JUSTICE B.R. GAVAI,17-12-2021,supremecourt/2019/2520/2520_2019_35_1501_32207_Judgement_17-Dec-2021.pdf
2567-2010,J,C.A. No.-004353-004353 - 2010,STATE OF CHHATTISGARH,M/S SAL UDYOG(P) LTD,NISHANTH PATIL,RAMESHWAR PRASAD GOYAL,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE SURYA KANT, HON'BLE MS. JUSTICE HIMA KOHLI",HON'BLE MS. JUSTICE HIMA KOHLI,08-11-2021,supremecourt/2010/2567/2567_2010_31_1502_31178_Judgement_08-Nov-2021.pdf
2645-2021,J,T.C.(C) No.-000025 - 2021,AMAN LOHIA,KIRAN LOHIA,BY COURTS MOTION,,"HON'BLE MR. JUSTICE A.M. KHANWILKAR, HON'BLE MR. JUSTICE DINESH MAHESHWARI, HON'BLE MR. JUSTICE KRISHNA MURARI",HON'BLE MR. JUSTICE A.M. KHANWILKAR,17-03-2021,supremecourt/2021/2645/2645_2021_35_1501_27021_Judgement_17-Mar-2021.pdf
2660-2021,J,C.A. No.-000323 - 2021,ASSET RECONSTRUCTION COMPANY (INDIA) LIMITED,BISHAL JAISWAL,MOHIT D. RAM,,"HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN, HON'BLE MR. JUSTICE B.R. GAVAI, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN,15-04-2021,supremecourt/2021/2660/2660_2021_33_1502_27520_Judgement_15-Apr-2021.pdf
2662-2021,J,C.A. No.-005887-005887 - 2021,UNITED INDIA INSURANCE CO. LTD.,SUSHIL KUMAR GODARA,AMIT KUMAR SINGH,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE S. RAVINDRA BHAT, HON'BLE MS. JUSTICE BELA M. TRIVEDI",HON'BLE THE CHIEF JUSTICE,30-09-2021,supremecourt/2021/2662/2662_2021_2_1501_30568_Judgement_30-Sep-2021.pdf
2669-2021,J,C.A. No.-005991-005992 - 2021,ASHISH SARAF,BHUVAN MADAN,ARUP BANERJEE,,"HON'BLE MR. JUSTICE AJAY RASTOGI, HON'BLE MR. JUSTICE ABHAY S. OKA",HON'BLE MR. JUSTICE AJAY RASTOGI,27-09-2021,supremecourt/2021/2669/2669_2021_44_8_30334_Judgement_27-Sep-2021.pdf
2723-2020,J,C.A. No.-005667-005667 - 2021,UTTAR PRADESH JAL VIDYUT NIGAM LIMITED,BALBIR SINGH,SUNIL KUMAR JAIN,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE M.R. SHAH,13-09-2021,supremecourt/2020/2723/2723_2020_42_1503_29965_Judgement_13-Sep-2021.pdf
2818-2021,J,C.A. No.-001647-001647 - 2021,PASL WIND SOLUTIONS PRIVATE LIMITED,GE POWER CONVERSION INDIA PRIVATE LIMITED,ANUSHREE PRASHIT KAPADIA,,"HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN, HON'BLE MR. JUSTICE B.R. GAVAI, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN,20-04-2021,supremecourt/2021/2818/2818_2021_33_1501_27661_Judgement_20-Apr-2021.pdf
2832-2018,J,R.P.(C) No.-000472 - 2018,ANJALI BRAHMAWAR CHAUHAN,NAVIN CHAUHAN,RICHA KAPOOR,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE THE CHIEF JUSTICE,22-01-2021,supremecourt/2018/2832/2832_2018_31_1501_25555_Judgement_22-Jan-2021.pdf
2865-2021,J,W.P.(C) No.-000150 - 2021,UPENDRA CHOUDHURY,BULANDSHAHAR DEVELOPMENT AUTHORITY,SHILPA LIZA GEORGE,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,11-02-2021,supremecourt/2021/2865/2865_2021_36_6_26115_Judgement_11-Feb-2021.pdf
2957-2018,J,Crl.A. No.-000031-000031 - 2019,VIRAM @ VIRMA,THE STATE OF MADHYA PRADESH,CHRISTI JAIN,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MRS. JUSTICE B.V. NAGARATHNA",HON'BLE MR. JUSTICE L. NAGESWARA RAO,23-11-2021,supremecourt/2018/2957/2957_2018_5_1501_31474_Judgement_23-Nov-2021.pdf
2997-1995,J,W.P.(C) No.-000202-000202 - 1995,IN RE : T.N. GODAVARMAN THIRUMULPAD,UNION OF INDIA AND ORS.,BY COURTS MOTION,GURMEET SINGH MAKKER,"HON'BLE MR. JUSTICE B.R. GAVAI, HON'BLE MR. JUSTICE VIKRAM NATH",HON'BLE MRS. JUSTICE B.V. NAGARATHNA,29-11-2021,supremecourt/1995/2997/2997_1995_43_1501_31633_Judgement_29-Nov-2021.pdf
2997-1995,J,W.P.(C) No.-000202-000202 - 1995,IN RE : T.N. GODAVARMAN THIRUMULPAD,UNION OF INDIA AND ORS.,BY COURTS MOTION,GURMEET SINGH MAKKER,"HON'BLE MR. JUSTICE B.R. GAVAI, HON'BLE MR. JUSTICE VIKRAM NATH",HON'BLE MRS. JUSTICE B.V. NAGARATHNA,29-11-2021,supremecourt/1995/2997/2997_1995_31_1501_26161_Judgement_15-Feb-2021.pdf
3004-2017,J,C.A. No.-004623-004623 - 2021,CENTRAL GOVT. OF INDIA,RAJ DEVI ALIAS RAJ KUMARI AND ANR.,MUKESH KUMAR MARORIA,,"HON'BLE MR. JUSTICE K.M. JOSEPH, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",,05-08-2021,supremecourt/2017/3004/3004_2017_42_2_29029_Order_05-Aug-2021.pdf
3018-2019,J,C.A. No.-004443-004443 - 2021,VICE CHANCELLOR ANAND AGRICULTURE UNIVERSITY,KANUBHAI NANUBHAI VAGHELA,SANJAY KAPUR,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE ANIRUDDHA BOSE",HON'BLE MR. JUSTICE L. NAGESWARA RAO,26-07-2021,supremecourt/2019/3018/3018_2019_36_1502_28758_Judgement_26-Jul-2021.pdf
3021-2020,J,C.A. No.-005153-005153 - 2021,THE STATE OF MADHYA PRADESH,AKHILESH JHA,MRINAL GOPAL ELKER,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE VIKRAM NATH, HON'BLE MS. JUSTICE HIMA KOHLI",HON'BLE THE CHIEF JUSTICE,06-09-2021,supremecourt/2020/3021/3021_2020_34_27_29845_Judgement_06-Sep-2021.pdf
3082-2009,J,C.A. No.-001346-001346 - 2010,MILKHI RAM,HIMACHAL PRADESH STATE ELECTRICITY BOARD,AJIT SINGH PUNDIR,NARESH K. SHARMA,"HON'BLE MR. JUSTICE R. SUBHASH REDDY, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE HRISHIKESH ROY,08-10-2021,supremecourt/2009/3082/3082_2009_42_1501_30701_Judgement_08-Oct-2021.pdf
3111-2021,J,SLP(Crl) No.-001156 - 2021,THE STATE OF ODISHA,BANABIHARI MOHAPATRA,RAVI PRAKASH MEHROTRA,,"HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE HEMANT GUPTA",HON'BLE MS. JUSTICE INDIRA BANERJEE,12-02-2021,supremecourt/2021/3111/3111_2021_44_28_26143_Judgement_12-Feb-2021.pdf
3149-2018,J,T.P.(C) No.-000232 - 2018,AARATI KUMARI,SANJEEV KUMAR SINGH,NIDHI,,HON'BLE MR. JUSTICE S. RAVINDRA BHAT,HON'BLE MR. JUSTICE S. RAVINDRA BHAT,04-10-2021,supremecourt/2018/3149/3149_2018_32_27_30535_Judgement_04-Oct-2021.pdf
3246-2017,J,C.A. No.-006534-006535 - 2021,STATE OF ORRISA,PREMALATA MOHAPATRA (DEAD) THR. LRS.,SOM RAJ CHOUDHURY,,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MR. JUSTICE HEMANT GUPTA,29-10-2021,supremecourt/2017/3246/3246_2017_41_1_30980_Judgement_29-Oct-2021.pdf
3275-2021,J,Crl.A. No.-000932-000932 - 2021,RANDHEER SINGH,THE STATE OF U.P.,CHANDRA PRAKASH,,"HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE J.K. MAHESHWARI",HON'BLE MS. JUSTICE INDIRA BANERJEE,02-09-2021,supremecourt/2021/3275/3275_2021_38_3_29755_Judgement_02-Sep-2021.pdf
3282-2019,J,C.A. No.-005963-005964 - 2021,THE STATE OF ODISHA,ARATI MOHAPATRA,SIBO SANKAR MISHRA,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE A.S. BOPANNA,27-09-2021,supremecourt/2019/3282/3282_2019_43_1502_30333_Judgement_27-Sep-2021.pdf
3283-2020,J,Crl.A. No.-000258-000258 - 2021,ALKA KHANDU AVHAD,AMAR SYAMPRASAD MISHRA,HIMANSHU SHEKHAR,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,08-03-2021,supremecourt/2020/3283/3283_2020_36_1501_26738_Judgement_08-Mar-2021.pdf
3324-2018,J,C.A. No.-004964-004964 - 2021,ESTATE OFFICER,CHARANJIT KAUR,ANKIT GOEL,,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MR. JUSTICE HEMANT GUPTA,07-09-2021,supremecourt/2018/3324/3324_2018_11_1501_29826_Judgement_07-Sep-2021.pdf
3338-2019,J,C.A. No.-006902-006902 - 2021,KURVAN ANSARI ALIAS KURVAN ALI,SHYAM KISHORE MURMU,S. N. BHAT,,"HON'BLE MR. JUSTICE R. SUBHASH REDDY, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE R. SUBHASH REDDY,16-11-2021,supremecourt/2019/3338/3338_2019_12_1501_31338_Judgement_16-Nov-2021.pdf
3456-2020,J,Crl.A. No.-000135-000135 - 2021,GAURI SHANKAR,THE STATE OF PUNJAB,MANJEET CHAWLA,,"HON'BLE MS. JUSTICE INDU MALHOTRA, HON'BLE MR. JUSTICE AJAY RASTOGI",HON'BLE MS. JUSTICE INDU MALHOTRA,16-02-2021,supremecourt/2020/3456/3456_2020_43_1501_26196_Judgement_16-Feb-2021.pdf
3508-2019,J,Crl.A. No.-000606-000606 - 2021,LAKSHMAN SINGH,STATE OF BIHAR (NOW JHARKHAND),DHARMENDRA KUMAR SINHA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE MR. JUSTICE M.R. SHAH,23-07-2021,supremecourt/2019/3508/3508_2019_35_1502_28712_Judgement_23-Jul-2021.pdf
3598-2021,J,Crl.A. No.-001043-001043 - 2021,UNION OF INDIA THROUGH NCB,MD. NAWAZ KHAN,B. V. BALARAM DAS,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE VIKRAM NATH, HON'BLE MRS. JUSTICE B.V. NAGARATHNA",HON'BLE THE CHIEF JUSTICE,22-09-2021,supremecourt/2021/3598/3598_2021_4_1501_30219_Judgement_22-Sep-2021.pdf
3712-2019,J,C.A. No.-005627-005627 - 2021,DELHI AIRPORT METRO EXPRESS PVT. LTD.,DELHI METRO RAIL CORPORATION LTD.,E. C. AGRAWALA,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE MR. JUSTICE L. NAGESWARA RAO,09-09-2021,supremecourt/2019/3712/3712_2019_35_1501_29929_Judgement_09-Sep-2021.pdf
3725-2010,J,C.A. No.-003454-003454 - 2011,M/S ORIENTAL STRUCTURAL ENGINEERS PVT. LTD.,STATE OF KERALA,DEVENDRA SINGH,G. PRAKASH,"HON'BLE MR. JUSTICE SURYA KANT, HON'BLE MR. JUSTICE ANIRUDDHA BOSE",HON'BLE MR. JUSTICE ANIRUDDHA BOSE,22-04-2021,supremecourt/2010/3725/3725_2010_39_1501_27758_Judgement_22-Apr-2021.pdf
3741-2012,J,C.A. No.-005976-005976 - 2014,PADAM NABH AND SONS,YASH PAL,TARUN GUPTA,SUBHASISH BHOWMICK,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MR. JUSTICE HEMANT GUPTA,17-11-2021,supremecourt/2012/3741/3741_2012_11_101_31324_Judgement_17-Nov-2021.pdf
3762-2018,J,C.A. No.-001827 - 2018,M/S CANON INDIA PRIVATE LIMITED,COMMISSIONER OF CUSTOMS,CHARANYA LAKSHMIKUMARAN,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE THE CHIEF JUSTICE,09-03-2021,supremecourt/2018/3762/3762_2018_31_1501_26812_Judgement_09-Mar-2021.pdf
3772-2017,J,C.A. No.-001051-001051 - 2021,CHIEF GENERAL MANAGER (IPC) M.P. POWER,NARMADA EQUIPMENTS PVT LTD,VKC LAW OFFICES,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE SANJIV KHANNA",HON'BLE THE CHIEF JUSTICE,23-03-2021,supremecourt/2017/3772/3772_2017_35_2_27227_Judgement_23-Mar-2021.pdf
3869-2021,J,SLP(C) No.-003063-003064 - 2021,THE HIGH COURT OF JUDICATURE AT MADRAS,M. C. SUBRAMANIAM,ANISH R. SHAH,,"HON'BLE MR. JUSTICE MOHAN M. SHANTANAGOUDAR, HON'BLE MR. JUSTICE VINEET SARAN",HON'BLE MR. JUSTICE MOHAN M. SHANTANAGOUDAR,17-02-2021,supremecourt/2021/3869/3869_2021_40_6_26276_Judgement_17-Feb-2021.pdf
3894-2021,J,Crl.A. No.-000343-000343 - 2021,THE STATE OF KERALA,MAHESH,NISHE RAJEN SHONKER,,"HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE KRISHNA MURARI",HON'BLE MS. JUSTICE INDIRA BANERJEE,19-03-2021,supremecourt/2021/3894/3894_2021_40_24_27058_Judgement_19-Mar-2021.pdf
3919-2006,J,C.A. No.-007017-007017 - 2009,PRABHAGIYA VAN ADHIKARI AWADH VAN PPABHAG,ARUN KUMAR BHARDWAJ (DEAD) THR. LRS.,KAMLENDRA MISHRA,AFTAB ALI KHAN,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MR. JUSTICE HEMANT GUPTA,05-10-2021,supremecourt/2006/3919/3919_2006_11_1501_30613_Judgement_05-Oct-2021.pdf
3947-2021,J,C.A. No.-004492-004493 - 2021,AMAZON.COM NV  INVESTMENT HOLDINGS LLC,FUTURE RETAIL LIMITED,MOHIT SINGH,,"HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN, HON'BLE MR. JUSTICE B.R. GAVAI",HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN,06-08-2021,supremecourt/2021/3947/3947_2021_32_1501_29084_Judgement_06-Aug-2021.pdf
3983-2020,J,C.A. No.-005966-005966 - 2021,AJAY KUMAR SHUKLA,ARVIND RAI,SHANTWANU SINGH,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE SURYA KANT, HON'BLE MR. JUSTICE VIKRAM NATH",HON'BLE MR. JUSTICE VIKRAM NATH,08-12-2021,supremecourt/2020/3983/3983_2020_4_1501_31898_Judgement_08-Dec-2021.pdf
3999-2018,J,Crl.A. No.-000593-000593 - 2021,INDRA DEVI,THE STATE OF RAJASTHAN,BALAJI SRINIVASAN,,"HON'BLE MR. JUSTICE SANJAY KISHAN KAUL, HON'BLE MR. JUSTICE HEMANT GUPTA",HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,23-07-2021,supremecourt/2018/3999/3999_2018_37_1502_28715_Judgement_23-Jul-2021.pdf
4008-2019,J,C.A. No.-007535-007535 - 2021,SHYAM SUNDER OBEROI,DISTRICT AND SESSION JUDGE,KAVEETA WADIA,,"HON'BLE MR. JUSTICE AJAY RASTOGI, HON'BLE MR. JUSTICE ABHAY S. OKA",HON'BLE MR. JUSTICE AJAY RASTOGI,08-12-2021,supremecourt/2019/4008/4008_2019_14_1501_32058_Judgement_08-Dec-2021.pdf
4109-2010,J,C.A. No.-001658-001658 - 2010,BOMBAY HOSPITAL AND MEDICAL RESEARCH CENTRE,ASHA JAISWAL .,KARANJAWALA & CO.,ASHWANI KUMAR,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MR. JUSTICE HEMANT GUPTA,30-11-2021,supremecourt/2010/4109/4109_2010_11_1501_31713_Judgement_30-Nov-2021.pdf
4183-2020,J,C.A. No.-000049-000049 - 2021,CHAIRMAN ADMINISTRATIVE COMMITTEE UP,JAGPAL SINGH,HARISH PANDEY,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE MR. JUSTICE HEMANT GUPTA,23-03-2021,supremecourt/2020/4183/4183_2020_37_1501_27213_Judgement_23-Mar-2021.pdf
4211-2021,J,Crl.A. No.-000912-000912 - 2021,RAHMAT KHAN @ RAMMU BISMILLAH KHAN,DEPUTY COMMISSIONER OF POLICE,HIMANSHU CHAUBEY,,"HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MS. JUSTICE INDIRA BANERJEE,25-08-2021,supremecourt/2021/4211/4211_2021_38_8_29538_Judgement_25-Aug-2021.pdf
4277-2021,J,C.A. No.-000595 - 2021,M/S SAI BABA SALES PVT. LTD.,UNION OF INDIA,ANSHULA VIJAY KUMAR GROVER,,"HON'BLE MR. JUSTICE R. SUBHASH REDDY, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE HRISHIKESH ROY,26-11-2021,supremecourt/2021/4277/4277_2021_42_1501_31591_Judgement_26-Nov-2021.pdf
4313-2020,J,C.A. No.-006014-006015 - 2021,K. KARUPPURAJ,M. GANESAN,S. THANANJAYAN,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE M.R. SHAH,04-10-2021,supremecourt/2020/4313/4313_2020_43_1502_30546_Judgement_04-Oct-2021.pdf
4352-2014,J,W.P.(C) No.-000114-000114 - 2014,COMMON CAUSE,UNION OF INDIA .,PRASHANT BHUSHAN,,,HON'BLE THE CHIEF JUSTICE,06-01-2021,supremecourt/2014/4352/4352_2014_31_11_25225_Judgement_06-Jan-2021.pdf
4370-2021,J,C.A. No.-004665-004665 - 2021,SRIHARI HANUMANDAS TOTALA,HEMANT VITHAL KAMAT,TARUN GUPTA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,09-08-2021,supremecourt/2021/4370/4370_2021_35_1501_29116_Judgement_09-Aug-2021.pdf
4405-2009,J,C.A. No.-000903-000903 - 2011,STATE OF KERALA,M/S POPULAR ESTATES (NOW DISSOLVED),G. PRAKASH,LIZ MATHEW,"HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE THE CHIEF JUSTICE,29-10-2021,supremecourt/2009/4405/4405_2009_32_1501_30970_Judgement_29-Oct-2021.pdf
4492-2021,J,Crl.A. No.-000447-000447 - 2021,SANDEEP KHAITAN,JSVM PLYWOOD INDUSTRIES LTD.,ANAND VARMA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE K.M. JOSEPH",HON'BLE THE CHIEF JUSTICE,22-04-2021,supremecourt/2021/4492/4492_2021_34_1501_27756_Judgement_22-Apr-2021.pdf
4603-2021,J,C.A. No.-000676 - 2021,PRATAP TECHNOCRATS (P) LTD.,MONITORING COMMITTEE OF RELIANCE INFRATEL LIMITED,RAJAT SEHGAL,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,10-08-2021,supremecourt/2021/4603/4603_2021_35_1501_29198_Judgement_10-Aug-2021.pdf
4758-2015,J,C.A. No.-006092-006092 - 2021,STANDARD CHARTERED BANK,R.C. SRIVASTAVA,GAGAN GUPTA,,"HON'BLE MR. JUSTICE AJAY RASTOGI, HON'BLE MR. JUSTICE ABHAY S. OKA",HON'BLE MR. JUSTICE AJAY RASTOGI,29-09-2021,supremecourt/2015/4758/4758_2015_14_1502_30471_Judgement_29-Sep-2021.pdf
4836-2021,J,Crl.A. No.-000510-000510 - 2021,GAUTAM NAVLAKHA,NATIONAL INVESTIGATION  AGENCY,SHADAN FARASAT,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE K.M. JOSEPH",HON'BLE THE CHIEF JUSTICE,12-05-2021,supremecourt/2021/4836/4836_2021_33_1502_28011_Judgement_12-May-2021.pdf
4912-2017,J,Crl.A. No.-000186-000186 - 2018,HARI,THE STATE OF UTTAR PRADESH,AMITA GUPTA,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE SANJIV KHANNA, HON'BLE MR. JUSTICE B.R. GAVAI",HON'BLE MR. JUSTICE L. NAGESWARA RAO,26-11-2021,supremecourt/2017/4912/4912_2017_35_1501_31583_Judgement_26-Nov-2021.pdf
4961-2019,J,T.P.(C) No.-000429 - 2019,DIPANKAR DEBAPRIYA HALDAR,TEESTA DIPANKAR HALDAR,SHIV KUMAR SURI,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE THE CHIEF JUSTICE,08-04-2021,supremecourt/2019/4961/4961_2019_31_1503_27493_Judgement_08-Apr-2021.pdf
5013-2021,J,C.A. No.-006745-006749 - 2021,M/S NEWTECH PROMOTERS AND DEVELOPERS PVT LTD.,THE STATE OF UTTAR PRADESH,SHASHANK SINGH,,"HON'BLE MR. JUSTICE AJAY RASTOGI, HON'BLE MR. JUSTICE ABHAY S. OKA",HON'BLE MR. JUSTICE AJAY RASTOGI,11-11-2021,supremecourt/2021/5013/5013_2021_14_1502_31099_Judgement_11-Nov-2021.pdf
5024-2020,J,Crl.A. No.-000452-000452 - 2021,PATAN JAMAL VALI,THE STATE OF ANDHRA PRADESH,HARINDER MOHAN SINGH,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,27-04-2021,supremecourt/2020/5024/5024_2020_35_1501_27785_Judgement_27-Apr-2021.pdf
5034-2014,J,Crl.A. No.-000502-000502 - 2015,GURU DUTT PATHAK,THE STATE OF UTTAR PRADESH HOME DEPARTMENT STATION HOUSE OFFICER,ASHUTOSH KUMAR SHARMA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,06-05-2021,supremecourt/2014/5034/5034_2014_35_1501_27915_Judgement_06-May-2021.pdf
5066-2021,J,MA-000364 - 2021,M/S KALAMANI TEX ITS PARTNER B. SUBRAMANIAN,P. BALASUBRAMANIAN,BY COURTS MOTION,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE SURYA KANT, HON'BLE MR. JUSTICE ANIRUDDHA BOSE",,24-02-2021,supremecourt/2021/5066/5066_2021_32_11_26459_Order_24-Feb-2021.pdf
5071-2021,J,Crl.A. No.-000522-000522 - 2021,NATHU SINGH,THE STATE OF UTTAR PRADESH,CHARU AMBWANI,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE SURYA KANT, HON'BLE MR. JUSTICE ANIRUDDHA BOSE",HON'BLE THE CHIEF JUSTICE,28-05-2021,supremecourt/2021/5071/5071_2021_31_1503_28042_Judgement_28-May-2021.pdf
5077-2019,J,C.A. No.-006151-006151 - 2021,NATIONAL INSURANCE COMPANY LTD. MANAGER,CHAMUNDESWARI,RANJAN KUMAR PANDEY,,"HON'BLE MR. JUSTICE R. SUBHASH REDDY, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE R. SUBHASH REDDY,01-10-2021,supremecourt/2019/5077/5077_2019_42_1501_30503_Judgement_01-Oct-2021.pdf
5107-2020,J,C.A. No.-004846-004846 - 2021,PRAVEEN KUMAR C.P.,KERALA PUBLIC SERVICE COMMISSION,ABID ALI BEERAN P,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE ANIRUDDHA BOSE",HON'BLE MR. JUSTICE ANIRUDDHA BOSE,17-08-2021,supremecourt/2020/5107/5107_2020_1_1501_29345_Judgement_17-Aug-2021.pdf
5127-2020,J,C.A. No.-007721-007721 - 2021,MADHYA PRADESH PUBLIC SERVICE COMMISSION,MANISH BAKAWALE,SHAVETA MAHAJAN,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE A.S. BOPANNA,17-12-2021,supremecourt/2020/5127/5127_2020_34_1503_32206_Judgement_17-Dec-2021.pdf
